Edit | Del,((Lead: BrokerincludesSTORM) and (Lead: FilialIdGlobnot equal to417)) or (Lead: BrokerincludesCRYP) or (Lead: BrokerincludesGLOX),Marketing Automation,
Edit | Del,"(Lead: Affiliate IDequals35474,10704,36773,50392,57541) or (Lead: IBPartnerCodeequalsURY003IPB,101555,102025,35696,35994,36096,36403,36461,36948,37208,38460,38571,41202,41380,42631,43946,44704,45810,45843,45845,45847,45848,45849,46080,46435,46383,46382,46381,46380,46379,46366,46622,46384,47785,48338,48441,48548,36252,38433) or (Lead: IBPartnerCodeequals36976,35657,100563,49323,10704,51392,105890,105921,52382,52622,52686,52734,52834,52764,53047,53112,53219,53225,53419,53348,53493,53385,53548,53549,53656,51892,51796,35474,38394,36773,36284,51263,36265,51566,51316,57695,51196,50544,50399,50392,52500,51176) or (Lead: IBPartnerCodeequals50886,50888,50890,50891,50895,50896,50898,50899,51014,51015,51036,51016,51031,50646,50926,50951,50955,50966,50968,50900,50918,50910,50914,50919,50922,50928,50937,50941,50950,51285,51268,51246,51235) or (Lead: IBPartnerCodeequals51032,51034,51045,51050,51052,51056,51057,51075,51079,51095,51097,51120,51155,51147,51181,51159,51103,51212,51215,51123,51139,51158,51148,37693,51128,51379,51384,51457,51387,51419,51429,51438,51441,51445,51334,51459,51330,51388,51400,51329) or (Lead: IBPartnerCodeequals51179,51200,51201,51270,51213,51216,51219,51245,51297,51271,51292,51302,51302,51312,51315,51317,51322,51348,51350,51351,51352,51353,51357,51359,51362,51364,50841,50741,50715,51269,51299,51345,51349,52524)",Marketing Automation,
Edit | Del,"(((Lead: IBPartnerCodenot equal tonull) and (Lead: FilialIdGlobequals334,427,444,338,367,335,336,377,418,443,446,333,436,342,422,424,329,341,343,339,340,344,337,330,451,449,445,426,429,412,431,458,466,452,463,441,462,440,468,457,448,432,430,455,454,406,410,327,411)) or (Lead: FilialIdGlobequals469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485)) and (Lead: BrokerexcludesCYPB,STORM,GLOX,CRYP)",IB Automation,
Edit | Del,"(Lead: Submit IDcontainsyt-T,yt-B) or (Lead: Referrer Longcontainsyt.traderacademy.com/signup)",Academy YT,
Edit | Del,(Lead: Lead Record TypeequalsPartner) and (Lead: Partner TypeincludesFranchise),Людмила Сергеевна Черная (Мельникова),
Edit | Del,"(Lead: Languagecontainsen,ru) and (Lead: CountrycontainsУкраина,Узбекистан,Tajikistan,Armenia,Azerbaijan,Belarus,Georgia,Kazakhstan,Kyrgyzstan,Moldova,Turkmenistan,Ukraine,Uzbekistan,Азербайджан,Армения,Беларусь,Казахстан,Киргизия,Молдова) and ((Lead: Partner TypeincludesFranchise) or (Lead: Partner TypeincludesIB) or (Lead: Partner TypeincludesWhite Label)) and (Lead: Lead Record TypeequalsPartner)",Людмила Сергеевна Черная (Мельникова),
Edit | Del,(Lead: IBPartnerCodeequals45226) and (Lead: FilialIdGlobequals428),Sales Department,
Edit | Del,(Lead: IBPartnerCodeequals102101) and (Lead: FilialIdGlobnot equal to417),Lorena Fernandez,
Edit | Del,"(Lead: FilialIdGlobequals294,121,345,346,318) and (Lead: Lead Record TypeequalsPersonAccountLead) and ((Lead: IBPartnerCodeequalsCHN937IPB,CHN938IPB,CHN940IPB,CHN946IPB,CHN955IPB,CHN958IPB,CHN659IPB) or (Lead: IBPartnerCodeequalsCHN110IPB,CHN112IPB,CHN116IPB,CHN117IPB,CHN119IPB,CHN124IPB,CHN133IPB,CHN134IPB,CHN137IPB,CHN138IPB,CHN140IPB,CHN142IPB,CHN145IPB,CHN147IPB,CHN156IPB,CHN160IPB,CHN171IPB,CHN182IPB,CHN196IPB,CHN207IPB,CHN230IPB,CHN240IPB17,CHN247IPB,CHN256IPB1,CHN256IPB10) or (Lead: IBPartnerCodeequalsCHN256IPB17,CHN256IPB4,CHN261IPB,CHN270IPB,CHN272IPB,CHN287IPB,CHN288IPB,CHN298IPB,CHN301IPB,CHN306IPB,CHN311IPB,CHN319IPB,CHN320IPB,CHN321IPB,CHN322IPB,CHN323IPB,CHN324IPB,CHN325IPB,CHN327IPB,CHN330IPB,CHN339IPB,CHN339IPB1,CHN350IPB,CHN351IPB,CHN359IPB) or (Lead: IBPartnerCodeequalsCHN360IPB,CHN361IPB,CHN374IPB,CHN377IPB,CHN380IPB,CHN381IPB,CHN387IPB,CHN393IPB,CHN399IPB,CHN401IPB,CHN405IPB,CHNI431PB,CHN439IPB,CHN440IPB,CHN455IPB,CHN469IPB,CHN486IPB,CHN490IPB,CHN492IPB,CHN493IPB,CHN494IPB,CHN496IPB,CHN499IPB,CHN503IPB,CHN508IPB) or (Lead: IBPartnerCodeequalsCHN509IPB,CHN525IPB,CHN536IPB,CHN582IPB,CHN937IPB,CHN938IPB,CHN940IPB,CHN940IPB1,CHN940IPB2,CHN940IPB3,CHN940IPB4,CHN946IPB,CHN948IPB,CHN948IPB1,CHN948IPB2,CHN948IPB3,CHN948IPB4,CHN948IPB5,CHN948IPB6,CHN955IPB,CHN956IPB,CHN958IPB,CHN964IPB,CHN968IPB) or (Lead: IBPartnerCodeequalsCHN972IPB,CHN978IPB,TWN013IPB,CHN469IPB1,CHN488IPB,CHN538IPB,CHN541IPB,CHN542IPB,CHN543IPB,CHN543IPB1,CHN544IPB,CHN545IPB,CHN545IPB1,CHN545IPB2,CHN545IPB3,CHN545IPB4,CHN560IPB,CHN569IPB,CHN573IPB,CHN574IPB,CHN591IPB,CHN603IPB,CHN605IPB,CHN610IPB,CHN618IPB) or (Lead: IBPartnerCodeequalsCHN620IPB,CHN622IPB,CHN623IPB,CHN626IPB,CHN630IPB,CHN632IPB,CHN633IPB,CHN64IPB,CHN648IPB,CHN650IPB,CHN651IPB,CHN664IPB,CHN674IPB,CHN681IPB,CHN698IPB,CHN704IPB,CHN709IPB,CHN711IPB,CHN712IPB,CHN718IPB,CHN732IPB,CHN746IPB,CHN758IPB,CHN775IPB,CHN778IPB) or (Lead: IBPartnerCodeequalsCHN782IPB,CHN788IPB,CHN790IPB,CHN798IPB,CHN802IPB,CHN807IPB,CHN849IPB,CHN868IPB,CHN876IPB,CHN881IPB,CHN954IPB,CHN960IPB,CHN979IPB,CHN984IPB,MYS001APB,TWN005IPB,TWN006IPB,TWN007IPB,TWN007IPB1,TWN008IPB,TWN009IPB,TWN010IPB,TWN011ICB) or (Lead: IBPartnerCodeequalsCHN946IPB,CHN48IPB,CHN48IPB1,CHN48IPB2,CHN48IPB3,CHN48IPB4,CHN48IPB5) or (Lead: IBPartnerCodeequalsCHN849IPB1,CHN940IPB3,CHN940IPB4,CHN940IPB5,CHN940IPB6,CHN940IPB7,CHN948IPB6,CHN948IPB5,CHN1044IPB) or (Lead: IBPartnerCodeequalsCHN1124IPB,CHN1124IPB1TWN,CHN1124IPB2,CHN1139IPB,CHN1157IPB,CHN1159IPB,CHN256IPB4,CHN265IPB,CHN1044IPB,CHN437IPB,CHN940IPB8,CHN940IPB9) or (Lead: IBPartnerCodeequalsCHN1124IPB3,CHN1124IPB4,CHN1124IPB5,CHN1124IPB6,CHN1139IPB1,CHN1139IPB2,CHN1139IPB3,CHN1159IPB1,CHN1186IPB,CHN1186IPB1,CHN1186IPB2,CHN940IPB11,CHN1186IPB3,CHN1186IPB4,CHN1186IPB5,CHN1186IPB6,CHN1186IPB7,CHN1214IPB,CHN1215IPB,CHN1260IPB,CHN1260IPB1) or (Lead: IBPartnerCodeequalsCHN1260IPB2,CHN1260IPB3,CHN1309IPB,CHN940IPB10) or (Lead: IBPartnerCodeequalsCHN1124IPB10,CHN1124IPB101,CHN1124IPB11,CHN1124IPB12,CHN1124IPB13,CHN1124IPB14,CHN1124IPB15,CHN1124IPB16,CHN1124IPB17TWN,CHN1124IPB7,CHN1124IPB8,CHN1124IPB9,CHN1157IPB1,CHN1157IPB2))",Sito Liang,
Edit | Del,"(Lead: FilialIdGlobequals294,121,345,346,318) and (Lead: Lead Record TypeequalsPersonAccountLead) and (Lead: IBPartnerCodeequalsCHN876IPB,CHN443IPB1,CHN443IPB,CHN294IPB,CHN290IPB,CHN1048IPB,CHN1047IPB,CHN1034IPB,CHN1015IPB1)",Leo Li,
Edit | Del,"(Lead: FilialIdGlobequals294,121,345,346,318) and (Lead: Lead Record TypeequalsPersonAccountLead) and (Lead: IBPartnerCodeequalsCHN1376IPB,CHN1386IPB,CHN1390IPB)",Roy Gao,
